System Name,Category,Purpose,Table Count,Active Data,Notes
ado,Marketing,Marketing platform,5,No,
adobe_analytics,Marketing,Web analytics and digital marketing analytics,5,No,
aero,Other/Unknown,Unknown,16,No,
aln,Other/Unknown,Unknown,2,No,
alteryx,Analytics/BI,Data analytics and preparation platform,Unknown,No,
altus,Other/Unknown,Unknown,1,No,
analytical,Other/Unknown,Data processing schema,Unknown,No,
analytical_consumption,Other/Unknown,Data consumption layer schema,Unknown,No,
aravo,Procurement/Vendor,Supplier management and vendor risk management,26,No,
archibus,Property/Facilities,Facilities management and real estate management,19,No,
area,Other/Unknown,Unknown,14,No,
ares,Other/Unknown,Unknown,1,No,
argo,Other/Unknown,Unknown,Unknown,No,
asa,Other/Unknown,Unknown,3,No,
avetta,Procurement/Vendor,Supply chain risk management and contractor management,1,No,
axiometrics,Other/Unknown,Unknown,8,No,
be_salesforce,CRM/Sales,Salesforce CRM for Business Europe region,36,No,
belux_research,Other/Unknown,Unknown (Belgium/Luxembourg research),1,No,
blossom,Other/Unknown,Unknown,3,No,
bls,Other/Unknown,Unknown,4,No,
box,Document Management,Cloud content management and file sharing,2,No,
bravo,Other/Unknown,Unknown,95,No,
brazilsalesforce,CRM/Sales,Salesforce CRM for Brazil region,4,No,
breeam,ESG/Sustainability,Building sustainability assessment and certification,1,No,
brightedge,Other/Unknown,Unknown,6,No,
brokerprofileoffice,Other/Unknown,Unknown,1,No,
brokerprofileperson,Other/Unknown,Unknown,1,No,
canopy,Other/Unknown,Unknown,63,No,
capforce,Other/Unknown,Unknown,90,No,
car,Research/Data,Commercial real estate data,2,No,
casasapo,Other/Unknown,Unknown,1,No,
catastro,Research/Data,Property registry (Spain),7,No,
census,Other/Unknown,Unknown,Unknown,No,
clarizen,Project Management,Project management and collaboration platform,50,Yes,"249,544 project records"
client,Other/Unknown,Unknown,2,No,
cmo,Compliance/Legal,Legacy health and safety system,180,No,
cmqden,Other/Unknown,Unknown,3,No,
collibra,Other/Unknown,Data governance/catalog platform,313,No,
compass,Other/Unknown,Unknown,62,No,
corrigo,Property/Facilities,Facilities and property management,1108,No,Largest system
corrigo-staging,Property/Facilities,Corrigo staging environment,Unknown,No,
corrigotest,Property/Facilities,Corrigo test environment,Unknown,No,
costar,Property/Facilities,Commercial real estate data and analytics,21,No,
crawler,Other/Unknown,Unknown,9,No,
crem,Other/Unknown,Unknown,65,No,
crm365,CRM/Sales,Microsoft Dynamics 365 CRM,82,No,
crp,Other/Unknown,Unknown,14,No,
crunchbase,Other/Unknown,Unknown,Unknown,No,
curated,Other/Unknown,Data processing schema,Unknown,No,
curated_consumption,Other/Unknown,Data consumption layer schema,Unknown,No,
cursor,Other/Unknown,Unknown,Unknown,No,
