taskname,category
"""Account 900"" Contingency",Construction
"""Sunken Cost"" prior to 2018",Uncategorized
"$100,000.00",Construction
(IT) Information Technology,FF&E + Millwork
(IT) Information Technology Dept,FF&E + Millwork
- 08 33 23 - INTERIOR COILING FIRE DOORS,Construction
- 08 34 93 - AUTOMATIC OVERHEAD COILING SMOKE CURTAINS,Construction
- 08 35 13.23 ACCORDION FOLDING FIRE DOORS (WON),Construction
- 09 29 00 - GYPSUM BOARD AND METAL FRAMING - CGM ACOUSTICS,Construction
- 09 30 00 - CERAMIC TILE AND STONE - American,Construction
- 09 66 23.16 - TERRAZZO FLOORING,Construction
- 09 67 23 - RESINOUS FLOORING (STONHARD),Construction
- 09 68 13 - CARPETING - American,Construction
- 09 91 23 - PAINTING - MacKenzie,Construction
- 10 22 13 - WIRE MESH PARTITIONS,Construction
- 10 28 28 - TOILET ACCESSORIES,Construction
- 11 31 13 PANTRY EQUIPMENT (APPLIANCES),Construction
- DIVISION 08 - ARCHITECTURAL LOUVERS (Eskylight),Soft Costs
- DIVISION 08 - ARCHITECTURAL METAL AND GLASS - Norwalk,Soft Costs
"- DIVISION 08 - OPENINGS- DOORS, FRAMES, HARDWARE - CANAAN",Construction
---HC Contingency: RREEF,Construction
---SC Contingency: RREEF,Construction
00999950-Agent Capital,Uncategorized
00999955-Agent Expense,Uncategorized
01 - General Requirements,Construction
01 00 00 - General Requirements,Construction
01 Construction Management Hard Cost,Construction
01 Furniture Office/Labs/GMP,FF&E + Millwork
01 Project Management Fee,Soft Costs
01000 Construction,Construction
02 - General Works,Construction
02 - Site Demo,Construction
02 AV Equipment & Wiring,FF&E + Millwork
02 Architect,Soft Costs
02 Managed Principal Fee (3%),Construction
02 Soundmasking,Construction
02.4100 Selective Demolition,Construction
02.8200 ACM Abatement,Construction
02: Site work/Demo,Construction
03 - Concrete,Construction
03 LEED/fitwel Consultant,Soft Costs
03 MEP/IT/AV/Security Engineer,FF&E + Millwork
03 Security System/Equipment,FF&E + Millwork
03 Signage & Wayfinding,FF&E + Millwork
04 - Masonry,Construction
04 Graphics & Branding,FF&E + Millwork
04 Pantry / Kitchen Equipment,FF&E + Millwork
05 - Metals,Construction
05 - Structural Steel & Misc. Metals,Construction
05 Project Contingency,Construction
05 Structural Engineer,Soft Costs
06 - Millwork/Casework,Construction
"06 - Wood, Plastics, and Composites",Construction
06 LEED Commissioning Agent,Soft Costs
"06.0000 Carpentry, Woods, Plastics",Construction
06: Wood & Carpentry,Construction
07 - Damp/Waterproofing,Construction
07 - Thermal and Moisture Protection,Construction
07 GMP Lab Validation/Commissioning,Soft Costs
071010 Concrete Patching,Construction
08 - Exterior/Interior Openings,Construction
08 - Openings,Construction
08 Special Inspections Consultant,Soft Costs
08.7100 Doors / Frames / Hardware,Construction
08: Doors & Windows,Uncategorized
09 - Finishes,Construction
09 Equipment Relocation and Validation,FF&E + Millwork
09.0000 Restroom Upgrades B30 & 11,Construction
09.2000 Drywall Partitions & Patching,FF&E + Millwork
09.3000 Ceramic Tile,Construction
09.5000 Ceilings,Construction
09.6000 Flooring,Construction
09.9000 Wall Finishes,Construction
09: Finishes/Flooring,Construction
1 A/E Services,Soft Costs
1 ADA,Construction
1 Add alternate 2 - replace UG pipes,Construction
1 Admin Requirements,Construction
1 Bldg Construction-BM,Construction
1 Bldg Construction-LHI,Construction
1 Bldg Construction-NC,Construction
1 Bond,Construction
1 Construction,Construction
1 Construction Fee,Construction
1 Construction Fee  (Item 4 Gilbane GMP 2221006),Construction
1 Construction General,Construction
1 Construction Overhead,Construction
1 Construction Overhead (Item 9 Gilbane GMP 2221006),Construction
1 Construction Permits,Soft Costs
1 Construction Services,Construction
1 Contractor Contingency,Construction
1 Contractor Insurance,Soft Costs
1 Contractor Insurance  (Item 2 Gilbane GMP 2221006),Soft Costs
1 Decomission,FF&E + Millwork
1 Decommissioning,FF&E + Millwork
1 Document Printing,Construction
1 Embarcadero Restoration,Construction
1 Facility Decommission,FF&E + Millwork
"1 Facility Decommission, Anechoic Chamber Removal",FF&E + Millwork
1 Facility Demolition,Construction
1 Facility Oper/Maintenance,Construction
1 Facility Operation,Construction
1 Final Cleaning,Construction
"1 Final Cleaning, Iron Mountain, Shred Services",Construction
1 Flushing & Decommission,FF&E + Millwork
1 Fuel Cabinet Delta,Construction
1 GC Fee,Construction
1 GMP Contingency,Construction
1 GMP Contingency  (Item 3 Gilbane GMP 2221006),Construction
1 Gen Require Exp,Construction
1 General Cleaning-BMR,Construction
1 General Conditions + Gen Trades,Construction
1 General Conditions Per,Construction
1 General Construction SOW,Construction
1 General Contractor Fee,Construction
1 General Expense,Construction
1 General Req.-BM,Construction
1 General Req.-LHI,Construction
1 General Req/Cond/Misc,Construction
"1 General Require, al",Construction
"1 General Require, all",Construction
"1 General Require, all  (Item 6 & 13 Gilbane GMP 2221006)",Construction
1 General Require; al,Construction
1 General Requirement,Construction
1 General Require| al,Construction
1 General Require| all,Construction
1 Hazmat/Asbestos Aba,Construction
1 Hazmat/Asbestos Abat,Construction
1 Hazmat/Asbestos Abate,Construction
1 IT Cabling,FF&E + Millwork
1 Insurance,Soft Costs
1 JLL PM,Soft Costs
1 L-Construction,Construction
1 L-Facility Decomm,FF&E + Millwork
1 L-General Require,Construction
1 M-Construction,Construction
1 M-General Require,Construction
1 Permits,Soft Costs
1 Permits/General,Soft Costs
