city,country,state_abbrev
ALBUQUERQUE,United States,NM
ARLINGTON,United States,TX
AUSTIN,United States,TX
Abbeville,United States,AL
Aberdeen,United States,ID
Aberdeen Proving Ground,United States,MD
Abilene,United States,KS
Abingdon,United States,IL
Acton,United States,CA
Acushnet,United States,MA
Addison,United States,AL
Adel,United States,GA
Adelanto,United States,CA
Agoura,United States,
Agoura Hills,United States,CA
Aiea,United States,HI
Aiken,United States,SC
Alamo,United States,CA
Albany,United States,CA
Albion,United States,CA
Albuquerque,United States,NM
"Albuquerque,",United States,NM
Alexandria,United States,AL
Alhambra,United States,CA
Aliso Viejo,United States,CA
Allen,United States,KS
Allentown,United States,GA
Allison Park,United States,PA
Alpharetta,United States,GA
Alta Loma,United States,
Altadena,United States,CA
Altamont,United States,IL
Altamonte Springs,United States,FL
Altoona,United States,AL
Alvin,United States,IL
Amesbury,United States,MA
Amherst,United States,CO
"Amherst, NY",United States,
Anacortes,United States,WA
Anaheim,United States,CA
Anchorage,United States,AK
Anderson,United States,AK
Andover,United States,CT
Ann Arbor,United States,MI
Annandale,United States,MN
Annapolis,United States,CA
Annapolis Junction,United States,MD
Apex,United States,NC
Apollo Beach,United States,FL
Apopka,United States,FL
Apple Valley,United States,CA
Appleton,United States,MN
Aptos,United States,CA
Arcadia,United States,CA
Ardmore,United States,AL
Arlington,United States,TX
Arlington Heights,United States,IL
Armonk,United States,NY
Arnold,United States,CA
Arroyo Grande,United States,CA
Arvada,United States,CO
Arvin,United States,CA
Ashburn,United States,GA
Asheboro,United States,NC
Asheville,United States,NC
Ashland,United States,AL
Aspen,United States,CO
Astoria,United States,IL
Atlanta,United States,GA
Attleboro,United States,MA
Auberry,United States,CA
Auburn,United States,AL
Auburndale,United States,FL
Augusta,United States,AR
Aurora,United States,CO
Austin,United States,TX
Avalon,United States,CA
Aventura,United States,
Avon,United States,CO
Avon Park,United States,FL
Avondale,United States,AZ
Avondale Estates,United States,GA
Ayer,United States,MA
BALTIMORE,United States,MD
Baileys Xrds,United States,
Bainbridge Island,United States,WA
Bakersfield,United States,CA
Bal Harbour,United States,
Balch Springs,United States,TX
Baldwin,United States,GA
Baldwin Park,United States,CA
Ballwin,United States,MO
Baltimore,United States,MD
Banks,United States,AL
Banning,United States,CA
Barrington,United States,IL
Barstow,United States,CA
Bastrop,United States,LA
Batavia,United States,IA
Baton Rouge,United States,LA
Bay Shore,United States,MI
Bayside,United States,CA
Beaufort,United States,MO
Beaumont,United States,CA
Beaver Dam,United States,KY
Beavercreek,United States,OR
Beaverton,United States,AL
Beckley,United States,WV
Bedford,United States,IA
Bel Air,United States,MD
Bell,United States,CA
Bellaire,United States,MI
Belleville,United States,AR
Bellevue,United States,IA
Bellflower,United States,CA
Bellmore,United States,IN
Belmont,United States,CA
Beloit,United States,KS
Belton,United States,KY
Beltsville,United States,MD
Bend,United States,OR
Benicia,United States,CA
Bensenville,United States,IL
Bentonville,United States,AR
Berkeley,United States,CA
Berlin,United States,CT
Berryville,United States,AR
Berwyn,United States,IL
Bessemer,United States,AL
Bethesda,United States,MD
Bethlehem,United States,CT
Bettendorf,United States,IA
Beverly,United States,KS
Beverly Hills,United States,CA
Billerica,United States,MA
Billings,United States,MO
Bingham Farms,United States,
Birmingham,United States,AL
Bishop,United States,CA
Bismarck,United States,AR
Blacksburg,United States,SC
Blaine,United States,KY
Blairsville,United States,GA
Bloomingdale,United States,GA
Bloomington,United States,CA
Blue Ash,United States,
Blue Bell,United States,PA
Blue Springs,United States,MO
Bluefield,United States,VA
Bluffton,United States,AR
Blythe,United States,CA
Boca Raton,United States,FL
Bogalusa,United States,LA
Bohemia,United States,NY
Boiling Springs,United States,NC
Boise,United States,ID
Bolingbrook,United States,IL
Bonita Springs,United States,FL
Boone,United States,CO
Boonton,United States,NJ
Bossier City,United States,LA
Boston,United States,MA
Bothell,United States,WA
Boulder,United States,CO
Boulder City,United States,NV
Bowie,United States,AZ
Bowling Green,United States,FL
Boyertown,United States,PA
Boynton Beach,United States,FL
Bozeman,United States,MT
Bradenton,United States,FL
Braintree,United States,MA
Brandon,United States,FL
Branford,United States,CT
Brawley,United States,CA
Brea,United States,CA
Brentwood,United States,CA
Brevard,United States,NC
Brick,United States,NJ
Bridgehampton,United States,NY
Bridgeville,United States,CA
Bridgewater,United States,CT
Brighton,United States,CO
Bristow,United States,IA
Brockton,United States,MA
Bronx,United States,NY
Bronxville,United States,NY
Brookfield,United States,CT
Brookhaven,United States,MS
Brookline,United States,MA
Brooklyn,United States,AL
Brooklyn Center,United States,
Brooklyn Park,United States,
Broomfield,United States,CO
Brownsville,United States,CA
Brunswick,United States,GA
Bryn Mawr,United States,CA
Buena Park,United States,CA
Buffalo,United States,IA
Buffalo Grove,United States,IL
Buford,United States,GA
Bunkie,United States,LA
Burbank,United States,CA
Burlingame,United States,CA
Burlington,United States,CO
Burney,United States,CA
Burnsville,United States,MN
Burr Ridge,United States,
Burtonsville,United States,MD
Butler,United States,AL
CANOGA PARK,United States,CA
COLORADO SPRINGS,United States,CO
COLUMBUS,United States,OH
Caldwell,United States,AR
Caledonia,United States,IL
Calexico,United States,CA
California,United States,KY
Callahan,United States,CA
Calumet City,United States,IL
Camarillo,United States,CA
Cambridge,United States,IA
Camp Hill,United States,AL
Camp Springs,United States,
Campbell,United States,AL
Canby,United States,CA
Candor,United States,NC
Canoga Park,United States,CA
Cape Canaveral,United States,FL
Cape Coral,United States,FL
Capistrano Beach,United States,CA
Capitola,United States,CA
Carle Place,United States,NY
Carlsbad,United States,CA
Carlstadt,United States,NJ
Carmel,United States,CA
Carol Stream,United States,IL
Carolina Beach,United States,NC
Carpentersville,United States,IL
Carpinteria,United States,CA
Carrabelle,United States,FL
Carrollton,United States,AL
Carson,United States,CA
Carson City,United States,MI
Cartersville,United States,GA
Cary,United States,IL
Cashiers,United States,NC
Casper,United States,WY
Castle Hayne,United States,NC
Castle Rock,United States,CO
Castro Valley,United States,CA
Cathedral City,United States,CA
Cedar Grove,United States,IN
Cedar Hill,United States,MO
Cedar Park,United States,TX
Cedar Rapids,United States,IA
Cedarburg,United States,WI
Cedarhurst,United States,NY
Celebration,United States,
Centennial,United States,WY
Center Harbor or Moultenboro,United States,
Centerville,United States,AR
Ceres,United States,CA
Cerritos,United States,CA
Chalmette,United States,LA
Chambersburg,United States,IL
Chamblee,United States,
Champlin,United States,MN
Chandler,United States,AZ
Chanhassen,United States,MN
Channahon,United States,IL
Chantilly,United States,VA
Chapel Hill,United States,NC
Chapin,United States,IA
Charles Town,United States,WV
Charleston,United States,AR
Charlestown,United States,IN
Charlotte,United States,NC
Charlottesville,United States,IN
Chatsworth,United States,CA
Chattanooga,United States,OK
Cheektowaga,United States,
Chelmsford,United States,MA
Chelsea,United States,AL
Cheraw,United States,CO
Cherry Hill,United States,NJ
Chesapeake,United States,OH
Chester,United States,AR
"Chester, VA 23836",United States,
Chesterfield,United States,IL
Chestnut Hill,United States,MA
Chevy Chase,United States,MD
Cheyenne,United States,OK
Chicago,United States,IL
Chicago Heights,United States,IL
Chicago Ridge,United States,IL
Chicopee,United States,MA
Chilton,United States,TX
Chino,United States,CA
Chippewa Falls,United States,WI
Christiansburg,United States,OH
Chubbuck,United States,
Chula Vista,United States,CA
Cincinnati,United States,OH
Cinnaminson,United States,
City of Industry,United States,CA
Clackamas,United States,OR
Claremont,United States,CA
Clark,United States,CO
Clarksburg,United States,CA
Clarksville,United States,AR
Clayton,United States,AL
Clearfield,United States,IA
Clearwater,United States,FL
Clemson,United States,SC
Clermont,United States,FL
Cleveland,United States,OH
Clifton,United States,AZ
Clifton Park,United States,NY
Clinton,United States,AL
Clintwood,United States,VA
Clovis,United States,CA
Clyde,United States,KS
Coachella,United States,CA
Cockeysville,United States,MD
Cocoa,United States,FL
Cocoa Beach,United States,FL
Coconut Creek,United States,FL
Coconut Grove,United States,
Coeur d Alene,United States,ID
College Park,United States,MD
College Station,United States,AR
Collinsville,United States,AL
Colorado Springs,United States,CO
Columbia,United States,AL
Columbus,United States,OH
Commack,United States,NY
Commerce,United States,GA
Compton,United States,AR
Concord,United States,AR
Connellsville,United States,PA
Connersville,United States,IN
Conshohocken,United States,PA
Conyers,United States,GA
Cookeville,United States,TN
Coon Rapids,United States,IA
Cooper City,United States,
Coppell,United States,TX
Coral Gables,United States,FL
Coral Springs,United States,FL
Coralville,United States,IA
Cordova,United States,AK
Cornelius,United States,NC
Corona,United States,CA
Corona Del Mar,United States,CA
Coronado,United States,CA
Corpus Christi,United States,TX
Corte Madera,United States,CA
Corvallis,United States,MT
Corydon,United States,IA
Costa Mesa,United States,CA
Cottonwood Heights,United States,
Country Club Hills,United States,IL
Covina,United States,CA
Covington,United States,GA
Cranberry,United States,PA
Cranberry Township,United States,
Crane,United States,IN
Cranston,United States,RI
Crawfordville,United States,FL
Cresskill,United States,NJ
Crestwood,United States,KY
Crete,United States,IL
Creve Coeur,United States,IL
Cross Lanes,United States,
Crystal,United States,MI
Crystal Lake,United States,IA
Crystal River,United States,FL
Cudahy,United States,WI
Culpeper,United States,VA
Culver City,United States,CA
Cumberland,United States,IA
Cumming,United States,GA
Cupertino,United States,CA
Curtis Bay,United States,MD
Cut Off,United States,LA
Cypress,United States,CA
DALLAS,United States,TX
Dacula,United States,GA
Daggett,United States,CA
Dahlonega,United States,GA
Dallas,United States,TX
Dalton,United States,GA
Daly City,United States,CA
Dana Point,United States,CA
Danbury,United States,CT
"Danbury, CT",United States,
Dania Beach,United States,
Danvers,United States,IL
Danville,United States,AL
Davenport,United States,CA
Davidson,United States,NC
Davis,United States,CA
Dawsonville,United States,GA
Dayton,United States,IA
Daytona Beach,United States,FL
De Pere,United States,WI
Decatur,United States,AL
Dededo,United States,GU
Dedham,United States,IA
Deer Park,United States,AL
Deer Valley,United States,
Deerfield Beach,United States,FL
Del Mar,United States,CA
Delafield,United States,WI
Deland,United States,FL
Delray Beach,United States,FL
Denham Springs,United States,LA
Denver,United States,CO
Derby,United States,CT
Derwood,United States,MD
Des Moines,United States,IA
Des Plaines,United States,IL
Desoto,United States,TX
Destrehan,United States,LA
Detroit,United States,MI
Devens,United States,MA
Dewitt,United States,IL
Diamond Bar,United States,CA
Dobbs Ferry,United States,NY
Dobson,United States,NC
Doral,United States,
Dorchester,United States,IA
